Match_id,Team1,Team2,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
1007649,0,1,2016,1,101,KL Rahul,1,CR Ervine,CJ Chibhabha,H Masakadza,PJ Moor,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami,AG Cremer,TL Chatara,T Muzarabani
1007651,0,1,2016,1,101,YS Chahal,1,V Sibanda,CJ Chibhabha,PJ Moor,H Masakadza,Sikandar Raza,E Chigumbura,R Mutumbami,AG Cremer,TL Chatara,T Muzarabani,Nan
1007653,0,1,2016,0,100,KL Rahul,1,T Maruma,CJ Chibhabha,V Sibanda,H Masakadza,MN Waller,E Chigumbura,AG Cremer,N Madziva,R Mutumbami,T Mupariwa,DT Tiripano
1019973,2,6,2016,2,100,TWM Latham,2,NT Broom,TWM Latham,KS Williamson,MJ Guptill,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,TA Boult,LH Ferguson
1019975,2,6,2016,6,101,NT Broom,2,NT Broom,KS Williamson,TWM Latham,MJ Guptill,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,LH Ferguson,TA Boult
1019977,2,6,2016,6,100,KS Williamson,2,Mahmudullah,Imrul Kayes,Sabbir Rahman,Tamim Iqbal,Shakib Al Hasan,Mosaddek Hossain,Nurul Hasan,Tanbir Hayder,Mashrafe Mortaza,Taskin Ahmed,Mustafizur Rahman
1020013,2,7,2016,7,101,MP Stoinis,2,LRPL Taylor,TWM Latham,KS Williamson,MJ Guptill,NT Broom,C Munro,JDS Neesham,MJ Santner,TG Southee,LH Ferguson,TA Boult
1020031,2,4,2016,4,101,Q de Kock,4,LRPL Taylor,TWM Latham,KS Williamson,DG Brownlie,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,TA Boult,IS Sodhi
1020033,2,4,2016,4,101,LRPL Taylor,2,LRPL Taylor,TWM Latham,KS Williamson,DG Brownlie,NT Broom,JDS Neesham,TG Southee,TA Boult,C de Grandhomme,IS Sodhi,MJ Santner
1020035,2,4,2016,4,100,AB de Villiers,4,AB de Villiers,HM Amla,F du Plessis,Q de Kock,JP Duminy,DA Miller,D Pretorius,WD Parnell,AL Phehlukwayo,K Rabada,Imran Tahir
